序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
73,839605,晟琪科技,0.13,53380557.74,-11.8187097331,-13.4163,7755405.54,-13.83,-10.4088,2.979442475023,4.31,0.043665161379,28.5465334293,,2022-08-30
74,400136,厦华5,0.0032,94358931.22,8667.0589304108,-6.7534,1656794.1,230.61,207.7939,0.01718236492,20.17,-0.101302803414,9.149022873,,2022-08-30
75,002016,世荣兆业,0.077,223625634.48,-10.4284337678,-82.0607,62313242.5,-24.39,-80.7624,5.867847605572,1.32,-0.528409343656,58.9797681857,房地产开发,2022-08-30
76,688557,兰剑智能,-0.05,117786787.91,123.1304851988,-66.2727,-3575997.14,-137.72,-104.8031,12.724394520985,-0.39,-2.151080972478,23.7692358598,通用设备,2022-08-27
77,603458,勘设股份,0.1,375110281.5,-47.1032970528,-55.3333,30314312.32,-61.13,-36.874,10.609927679445,0.91,-0.781555912453,33.5389461192,工程咨询服务,2022-08-27
78,871694,中裕科技,0.18,123456925.35,116.4178315465,-7.252,13820576.87,35.988797191,-58.1135,3.510196693965,5.29,0.083216842043,41.6191255649,,2022-08-26
79,834282,前程股份,0.109,550271195.98,26.9387373198,,8822791.21,-39.7199365155,,3.336146653012,3.42,-0.783974572289,11.7260018717,,2022-08-26
80,301022,海泰科,0.1947,90180005.54,-16.1065139289,-38.1476,12460128.89,22.75,-1.5647,13.638246543125,1.44,-0.479545406875,28.0478320317,汽车零部件,2022-08-23
81,400118,艾格3,-0.0029,117155.65,-99.3777074915,100.3844,-5327910.36,-76.99,99.2685,0.680266519835,-0.42,0.003359527954,,,2022-08-22
82,688667,菱电电控,0.51,170947044.33,-14.4811302613,-27.7045,26103952.09,-26.08,18.9848,28.045857257171,1.83,0.739791897674,38.4700779635,汽车零部件,2022-08-19
83,600615,丰华股份,-0.018,42925221.21,140.9481452345,-53.0596,-3431500.98,15.7265574509,-266.0155,3.333314347709,-0.546,-0.007367140716,-2.0044427629,小金属,2022-08-19
84,870801,皖创环保,0.06,53675336.77,53.0783831344,-63.9202,6114224.91,-34.9113695684,-61.6132,2.010524324928,2.98,-0.187847174589,44.5676216295,,2022-08-18
85,688112,鼎阳科技,0.19,67910991.3,3.9583745221,-28.8236,20047193.14,6.59,-2.6187,13.230578472944,1.43,-0.03924745661,55.5358503506,仪器仪表,2022-08-18
86,002296,辉煌科技,0.0541,106065612.2,-3.1295571982,-62.1796,19262750.19,-31.85,-14.3843,4.124143418083,1.17,0.06610619537,46.4831851317,通信设备,2022-08-16
87,301201,诚达药业,0.2959,108619193.47,23.543162422,-13.7024,26229854.86,25.28,-12.3651,22.514934669781,1.62,0.090480484536,51.6042488711,医疗服务,2022-08-15
88,002502,鼎龙文化,-0.0131,129678544.16,12.5213909401,-51.6973,-11207953.54,-604.95,-144.0764,1.432055514467,-0.85,-0.079670186872,36.3503668439,文化传媒,2022-08-13
89,688247,宣泰医药,0.05,63179209.56,3.4678459164,-25.0426,20263118.79,68.3448293258,-72.5901,1.77804678201,2.83,0.023030542304,77.6393849205,生物制品,2022-08-08
90,688403,汇成股份,0.07,230355848.53,49.3417041993,3.094,48647931.85,630.42,5.2147,2.163124969316,3.43,0.284614553014,30.144686646,半导体,2022-07-29
91,688401,路维光电,0.16,144944413.35,53.5387201325,4.9559,16036683.22,293.68,7.3058,4.7903509918,3.4,0.0448957725,26.6514241337,光学光电子,2022-07-29
92,688271,联影医疗,0.42,1658616383.94,20.0439543263,-35.8948,306144034.02,1.89,-52.6418,7.384743401726,5.9,-0.71929143045,49.5337558573,医疗器械,2022-07-29
93,301336,趣睡科技,0.5,93230303.6,-16.5655330281,-32.7884,15004412.59,-11.0,-10.9887,14.893211747333,3.42,-0.250820242333,29.8741065346,家用轻工,2022-07-29
94,300464,星徽股份,-0.0761,588406271.08,-54.9788515107,-8.9293,-26860263.54,-174.43,98.1955,1.222507124595,-5.96,0.022504009554,29.6005752455,通用设备,2022-07-29
